,店舗名,住所,緯度,経度
0,セブンイレブン 名古屋椿町店,愛知県名古屋市中村区椿町１４－２３,35.1690445,136.8803255
1,セブンイレブン品川駅前店新川屋,東京都港区高輪３丁目２５－２０,35.6303016,139.737793
2,セブンイレブン 京都駅八条口店,京都府京都市下京区東塩小路釜殿町３１－１,34.9846916,135.7573333
3,セブンイレブン浦安舞浜店,千葉県浦安市舞浜２丁目４６－１,35.6392456,139.8824973
4,セブンイレブングランフロント大阪店,大阪府大阪市北区大深町３－１,34.7053446,135.4946432
5,セブンイレブン箱根湯本駅前店,神奈川県足柄下郡箱根町湯本６９３－１,35.23146630000001,139.1016658
6,セブンイレブン 福岡天神２丁目店,福岡県福岡市中央区天神２丁目４－１９,33.5874021,130.3972686
7,セブンイレブン 大阪芝田２丁目店,大阪府大阪市北区芝田２丁目２－１３,34.70594450000001,135.4959015
8,セブンイレブン 秋田東通仲町店,秋田県秋田市東通仲町３－２５,39.7160123,140.1326867
9,セブンイレブン 新横浜駅南口店,神奈川県横浜市港北区篠原町２９７１－１,35.5064448,139.6169569
10,セブンイレブン箱根宮城野店,神奈川県足柄下郡箱根町宮城野６１９－２,35.2538778,139.0508675
11,セブンイレブン 札幌ステラプレイス店,北海道札幌市中央区北５条西２丁目,43.067934,141.3526151
12,セブンイレブン 鬼怒川立岩店,栃木県日光市鬼怒川温泉大原１４２２－１,36.8230965,139.7121914
13,セブンイレブン 神戸三ノ宮店,兵庫県神戸市中央区北長狭通１丁目３－６,34.6935853,135.1927225
14,セブンイレブン 北区東十条駅前店,東京都北区中十条２丁目９－１５,35.7621197,139.7269807
15,セブンイレブン アオーレ長岡店,新潟県長岡市大手通１丁目４－１０,37.4465874,138.8512244
16,セブンイレブン 仙台駅東口店,宮城県仙台市宮城野区榴岡１丁目２－３７ダイワロイネットホテル仙台,38.2586966,140.8848331
17,セブンイレブン 津市西丸之内店,三重県津市西丸之内１０－３,34.7165907,136.501301
18,セブンイレブン函館若松町店,北海道函館市若松町７－１５,41.7720207,140.7271797
19,セブンイレブン 新潟駅ＣｏＣｏＬｏ西館店,新潟県新潟市中央区花園１丁目９６－４７,37.9111436,139.0608557
20,セブンイレブン福岡天神３丁目店,福岡県福岡市中央区天神３丁目１６－１９－１Ｆ,33.593557,130.3974436
21,セブンイレブン 茨木西駅前町店,大阪府茨木市西駅前町５－３２,34.8167854,135.5612497
22,セブンイレブン 大阪阿倍野筋４丁目店,大阪府大阪市阿倍野区阿倍野筋４丁目１８－１５,34.6401856,135.510927
23,セブンイレブン中央区京橋１丁目店,東京都中央区京橋１丁目３－３,35.6786801,139.7710529
24,セブンイレブン 大阪宮原１丁目店,大阪府大阪市淀川区宮原１丁目１－３,34.7340802,135.5003205
25,セブンイレブン 大阪角田町店,大阪府大阪市北区角田町１－１,34.7040283,135.5011454
26,セブンイレブン 渋谷駅西店,東京都渋谷区道玄坂１丁目３－１１,35.65827480000001,139.6996178
27,セブンイレブン 江ノ電鎌倉駅サテライト店,神奈川県鎌倉市御成町１－１２,35.3182006,139.5499448
28,セブンイレブン 茅ケ崎幸町店,神奈川県茅ヶ崎市幸町１６－１２,35.330327,139.4112661
29,セブンイレブン 姫路東駅前町店,兵庫県姫路市東駅前町３１,34.8284142,134.6924378
30,セブンイレブン 倉敷駅前店,岡山県倉敷市阿知２丁目８－１,34.6001676,133.7675784
31,セブンイレブン 福島富岡上郡山店,福島県双葉郡富岡町大字上郡山字関名古３３４,37.3210587,141.0070596
32,セブンイレブン 奈良三碓２丁目店,奈良県奈良市三碓２丁目２５５－１,34.690574,135.7355337
33,セブンイレブン 会津白虎町店,福島県会津若松市白虎町２１３－３,37.5074598,139.9328088
34,セブンイレブン 横浜桜木町駅前店,神奈川県横浜市中区花咲町２丁目６４,35.4498515,139.629887
35,セブンイレブン 津市上浜町３丁目店,三重県津市上浜町３丁目６１－４,34.7412718,136.5161599
36,セブンイレブン 生駒元町１丁目店,奈良県生駒市元町１丁目４４１－３,34.6923108,135.6957337
37,セブンイレブン秋田中通６丁目店,秋田県秋田市中通６丁目８－５,39.7146012,140.1264928
38,セブンイレブン 浜松駅南店,静岡県浜松市中区砂山町３２２－７,34.7028604,137.7341535
39,セブンイレブンつくば吾妻３丁目店,茨城県つくば市吾妻３丁目１６－９,36.0879605,140.1150338
40,セブンイレブン 宝塚南口２丁目店,兵庫県宝塚市南口２丁目５－４１,34.8036112,135.3472904
41,セブンイレブンエル京橋店,大阪府大阪市都島区東野田町３丁目５－６,34.6976851,135.5339068
42,セブンイレブン神戸フラワーロード店,兵庫県神戸市中央区加納町４丁目１０－２,34.6956212,135.1935446
43,セブンイレブン立川北駅店,東京都立川市曙町２丁目４－１,35.6988077,139.4126987
44,セブンイレブン 神戸相生１丁目店,兵庫県神戸市中央区相生町１丁目３－３,34.6810171,135.1794378
45,セブンイレブン鎌倉小袋谷店,神奈川県鎌倉市大船３丁目３－５,35.3491358,139.532363
46,セブンイレブン八重洲地下街南店,東京都中央区八重洲２丁目１,35.6798688,139.7696085
47,セブンイレブン伊東 駅前店,静岡県伊東市湯川１丁目８－１１,34.9751858,139.0932781
48,セブンイレブン 静岡駅南口店,静岡県静岡市駿河区南町１３－２１,34.9701349,138.3906979
49,セブンイレブン 彦根駅前店,滋賀県彦根市大東町１－１,35.2715448,136.2612392
50,セブンイレブン 横浜市ケ尾店,神奈川県横浜市青葉区市ケ尾町４０９,35.5402424,139.543805
51,セブンイレブン 宝塚湯本町店,兵庫県宝塚市湯本町４－３４,34.8054109,135.3439461
52,セブンイレブン ダイバーシティ東京プラザ店,東京都江東区青海１－１－１０ ダイバーシティ東京 プラザ １Ｆ,35.62504620000001,139.7754533
53,セブンイレブン福岡市地下鉄博多駅店,福岡県福岡市博多区博多駅中央街１－１－Ｂ１Ｆ,33.5895666,130.4202822
54,セブンイレブン札幌北６条西１丁目店,北海道札幌市北区北６条西１丁目３－８,43.069331,141.3534037
55,セブンイレブン 大阪桜島３丁目店,大阪府大阪市此花区桜島３丁目３－２３,34.6629394,135.4294448
56,セブンイレブン 大阪天王寺駅北店,大阪府大阪市天王寺区悲田院町７－３,34.6485123,135.5164679
57,セブンイレブン 姫路南町店,兵庫県姫路市南町６５,34.8294501,134.6905547
58,セブンイレブン銀座地下街店,東京都中央区銀座５丁目４－３,35.6719251,139.7635896
59,セブンイレブン 大津駅前店,滋賀県大津市春日町２－１,35.0036221,135.8633215
60,セブンイレブン箱根湯本店,神奈川県足柄下郡箱根町湯本３２１,35.2317193,139.108218
61,セブンイレブン新丸ビル店,東京都千代田区丸の内１丁目５－１,35.68258220000001,139.7644643
62,セブンイレブン 千里中央駅北店,大阪府豊中市新千里東町１丁目２－３６,34.8112348,135.4941032
63,セブンイレブン 高槻芥川１丁目店,大阪府高槻市芥川町１丁目７－７,34.8524885,135.6171159
64,セブンイレブン 宇都宮駅前店,栃木県宇都宮市駅前通り１丁目５－１３,36.5596568,139.8965613
65,セブンイレブン大分駅前店,大分県大分市末広町１丁目１－２０,33.2348497,131.6063391
66,セブンイレブン 川越脇田本町店,埼玉県川越市脇田本町２－５,35.9055062,139.4825916
67,セブンイレブン堺東駅前店,大阪府堺市堺区三国ヶ丘御幸通１８－１,34.5731509,135.4838535
68,セブンイレブン 新潟弁天１丁目店,新潟県新潟市中央区弁天１丁目２－４,37.9133488,139.0598167
69,セブンイレブン甲府中央店,山梨県甲府市中央１丁目１２－４６,35.6599414,138.5692932
70,セブンイレブン町田駅東口店,東京都町田市原町田６丁目１５－１２－１Ｂ,35.5450146,139.4464124
71,セブンイレブン 旭川買物公園店,北海道旭川市宮下通７丁目２３９９－１明治屋ビル,43.764871,142.358608
72,セブンイレブン グランフロント大阪フロアナイン店,大阪府大阪市北区大深町３－１,34.7053446,135.4946432
73,セブンイレブン横浜みなとみらいパークビル店,神奈川県横浜市西区みなとみらい３丁目６－３,35.4585782,139.632367
74,セブンイレブン 川崎武蔵小杉駅前店,神奈川県川崎市中原区新丸子東３丁目１２００,35.5764822,139.6608892
75,セブンイレブン 川西能勢口駅前店,兵庫県川西市栄町１０－５－１０３,34.8289347,135.4135283
76,セブンイレブン 大阪高麗橋２丁目店,大阪府大阪市中央区高麗橋２丁目５－７,34.6900076,135.5043067
77,セブンイレブン 奈良西大寺本町店,奈良県奈良市西大寺本町４－１,34.6968186,135.7807075
78,セブンイレブン 津市藤方店,三重県津市藤方１５８５－３,34.6884252,136.5132146
79,セブンイレブン 柏原国分市場店,大阪府柏原市国分市場２丁目１１－１２,34.5666054,135.647432
80,セブンイレブン 海老名駅前店,神奈川県海老名市中央１丁目１５－１,35.4552863,139.3945416
81,セブンイレブン 奈良三条本町店,奈良県奈良市三条本町７－２３,34.6770074,135.8192214
82,セブンイレブン 茨木中穂積一丁目店,大阪府茨木市中穂積１丁目１－５,34.8153465,135.5575751
83,セブンイレブン 岡山駅元町店,岡山県岡山市北区駅元町３０－１２,34.6679384,133.9170462
84,セブンイレブン武蔵野境１丁目店,東京都武蔵野市境１丁目１５－１０,35.7026048,139.546307
85,セブンイレブン浦和駅西口店,埼玉県さいたま市浦和区高砂２丁目６－９,35.8576797,139.6542232
86,セブンイレブン東京ドームシティミーツポート店,東京都文京区後楽１丁目３－６１,35.7046709,139.7533532
87,セブンイレブン 船橋本町７丁目店,千葉県船橋市本町７丁目１２－１３,35.7044269,139.9838316
88,セブンイレブン 伊豆高原店,静岡県伊東市八幡野１１３６－１,34.8761085,139.103608
89,セブンイレブン大阪難波なんさん通店,大阪府大阪市中央区難波千日前１５－１７,34.6636355,135.5029298
90,セブンイレブン 長崎文教通り店,長崎県長崎市大橋町２４－４,32.7824125,129.8640783
91,セブンイレブン長崎五島町店,長崎県長崎市五島町１－１３,32.7496689,129.8728257
92,セブンイレブン 草津大路２丁目店,滋賀県草津市大路２丁目１２－１１,35.0197723,135.9689368
93,セブンイレブン大森駅前店,東京都大田区大森北１丁目１－４,35.5894201,139.7293539
94,セブンイレブン 仙台榴ヶ岡２丁目店,宮城県仙台市宮城野区榴岡２丁目５－５,38.2603995,140.885088
95,セブンイレブン富士吉田警察署東店,山梨県富士吉田市松山５丁目３－１１,35.4853371,138.7895578
96,セブンイレブン 西宮北口駅北店,兵庫県西宮市甲風園１丁目９－３,34.7477318,135.3562464
97,セブンイレブン 近鉄奈良駅北口店,奈良県奈良市東向北町３０－１,34.6846317,135.8289203
98,セブンイレブン福山駅前店,広島県福山市三之丸町８－１１,34.4879964,133.361421
99,セブンイレブン小田原東通り店,神奈川県小田原市栄町２丁目１－８真砂ビル,35.2562404,139.1569671
100,セブンイレブン 神戸中央中町通店,兵庫県神戸市中央区中町通２丁目３－１,34.6796172,135.1756381
101,セブンイレブン 三田三輪３丁目店,兵庫県三田市三輪３丁目８３７－１１,34.892493,135.229542
102,セブンイレブン八王子駅南店,東京都八王子市旭町１－１８,35.6545081,139.3393372
103,セブンイレブン前橋市民文化会館前店,群馬県前橋市南町３丁目４１－５,36.381194,139.0713304
104,セブンイレブン大分鴛野店,大分県大分市大字鴛野１３７９－１,33.1820833,131.6160864
105,セブンイレブン 有楽町イトシア店,東京都千代田区有楽町２丁目７－１,35.6742637,139.7637618
106,セブンイレブン 市川１丁目店,千葉県市川市市川１丁目１２－９,35.7309516,139.9068836
107,セブンイレブン銀座１丁目店,東京都中央区銀座１丁目１８－６,35.6738112,139.7714558
108,セブンイレブン 枚方市駅東口店,大阪府枚方市岡東町６６５－５８,34.8138096,135.6489501
109,セブンイレブン 熱海咲見町店,静岡県熱海市咲見町１０－３,35.1005759,139.0749878
110,セブンイレブン日光インター店,栃木県日光市東和町５９－１,36.7455948,139.6231775
111,セブンイレブン大阪駅前第２ビル店,大阪府大阪市北区梅田１丁目２－２,34.6988538,135.4980486
112,セブンイレブン 柏駅南口店,千葉県柏市柏１丁目２－２７,35.8610939,139.9712371
113,セブンイレブン 川崎駅東口店,神奈川県川崎市川崎区駅前本町１－３,35.5297921,139.6985682
114,セブンイレブン 金沢袋町店,石川県金沢市袋町５－８,36.5726101,136.6561907
115,セブンイレブン 世田谷成城６丁目店,東京都世田谷区成城６丁目９－７,35.6405692,139.5984606
116,セブンイレブン 大阪狭山５丁目店,大阪府大阪狭山市狭山５丁目２２４７－１,34.5033955,135.558923
117,セブンイレブン 長岡旭町店,新潟県長岡市旭町２丁目２－１,37.4438572,138.8505496
118,セブンイレブン ＪＲ和歌山駅東口店,和歌山県和歌山市黒田１丁目２－１,34.2327061,135.1931618
119,セブンイレブン博多駅前朝日ビル店,福岡県福岡市博多区博多駅前２丁目１－１,33.5909299,130.4181836
120,セブンイレブン海老名中央３丁目店,神奈川県海老名市中央３丁目１－３３,35.4502648,139.3917391
121,セブンイレブン 奈良中登美ヶ丘３丁目店,奈良県奈良市中登美ヶ丘３丁目１１,34.7189546,135.7459045
122,セブンイレブン 奈良押熊町店,奈良県奈良市押熊町１４４５－１,34.7144274,135.7668944
123,セブンイレブン 春日井町店,愛知県春日井市春日井町字土合６４－５,35.2497773,136.9352689
124,セブンイレブン 三田西山１丁目店,兵庫県三田市西山１丁目２－１９,34.8823553,135.2200019
125,セブンイレブン 府中駅北口店,東京都府中市府中町２丁目２－５,35.6724121,139.4820387
126,セブンイレブン 鈴鹿白子駅前店,三重県鈴鹿市白子駅前２９４８－７,34.83537099999999,136.588984
127,セブンイレブン 東区 福岡香椎２丁目店,福岡県福岡市東区香椎２丁目３－３,33.654704,130.448207
128,セブンイレブン相模湖西店,神奈川県相模原市緑区与瀬７１４,35.6177018,139.1837561
129,セブンイレブン 大月御太刀１丁目店,山梨県大月市御太刀１丁目１０－１４,35.6135989,138.9451937
130,セブンイレブン 小倉北区 小倉魚町２丁目店,福岡県北九州市小倉北区魚町２丁目５－８－１Ｆ,33.883695,130.880994
131,セブンイレブン 渋川大崎店,群馬県渋川市大崎１６２１－１,36.489318,139.0113778
132,セブンイレブン 京都伏見竹田店,京都府京都市伏見区竹田七瀬川町１２,34.9562165,135.759966
133,セブンイレブン箕面５丁目店,大阪府箕面市箕面５丁目１－１１,34.8342322,135.4713401
134,セブンイレブン 浅草国際通り店,東京都台東区浅草１丁目４３－５,35.7133962,139.792589
135,セブンイレブン赤坂２丁目店,東京都港区赤坂２丁目１３－１,35.6730464,139.7382666
136,セブンイレブン大津坂本３丁目店,滋賀県大津市坂本３丁目１４５１－４,35.0709671,135.876976
137,セブンイレブン柏原高井田店,大阪府柏原市大字高井田７４３－１,34.5712032,135.6396665
138,セブンイレブン 大阪ビジネスパーク東店,大阪府大阪市中央区城見２丁目２－５３,34.6937744,135.534093
139,セブンイレブン伊勢原１丁目店,神奈川県伊勢原市伊勢原１丁目１８－１７,35.3974422,139.3146286
140,セブンイレブン 阪急山田駅前店,大阪府吹田市山田西４丁目２－８６,34.8039539,135.5160255
141,セブンイレブン 鶴岡宝田１丁目店,山形県鶴岡市宝田１丁目８－５５,38.7411791,139.8311854
142,セブンイレブン 小諸店,長野県小諸市荒町１丁目４－８,36.3279801,138.4265884
143,セブンイレブン 尼崎中央店,兵庫県尼崎市昭和南通４丁目４０,34.7210464,135.414439
144,セブンイレブン 三田けやき台店,兵庫県三田市けやき台３丁目７５－４,34.9123294,135.1918087
145,セブンイレブン高松サンポート店,香川県高松市サンポート２－１,34.3526676,134.0467571
146,セブンイレブン 大阪天神橋４丁目店,大阪府大阪市北区天神橋４丁目９－３,34.693638,135.5135863
147,セブンイレブン大分金池町店,大分県大分市金池町４丁目３１４０－１,33.2346406,131.6149622
148,セブンイレブン秩父宮側町店,埼玉県秩父市宮側町１５－１６,35.9985156,139.0836168
149,セブンイレブン柏３丁目店,千葉県柏市柏３丁目７－２４,35.8609218,139.9750951
150,セブンイレブン西新宿一丁目店,東京都新宿区西新宿１丁目１１－１１,35.6899932,139.6975946
151,セブンイレブン 羽曳野栄町店,大阪府羽曳野市栄町１０－１,34.5502608,135.6066175
152,セブンイレブン伊勢原駅前店,神奈川県伊勢原市伊勢原２丁目４－２４,35.3965665,139.3110041
153,セブンイレブン 鶴見中央店,神奈川県横浜市鶴見区鶴見中央２丁目２－１,35.5102812,139.6789566
154,セブンイレブン いわき駅南口店,福島県いわき市平字田町１,37.0579185,140.8919672
155,セブンイレブン 安房富山高崎店,千葉県南房総市高崎１２０２－１,35.0880707,139.846776
156,セブンイレブン 長野二線路通り店,長野県長野市大字南長野北石堂町１３７４－１,36.6447526,138.1878106
157,セブンイレブン福岡大名店,福岡県福岡市中央区大名１丁目１－８,33.5863384,130.3965492
158,セブンイレブン 岐阜入舟町店,岐阜県岐阜市入舟町５丁目２７－１,35.410982,136.7833946
159,セブンイレブン大阪曽根崎２丁目店,大阪府大阪市北区曾根崎２丁目１５－２９,34.7018924,135.501476
160,セブンイレブン尾道土堂店,広島県尾道市土堂１丁目１７－１６,34.4068675,133.199789
161,セブンイレブン品川プリンスホテル店,東京都港区高輪４丁目１０－３０,35.6280462,139.7352378
162,セブンイレブン 奈良大宮町６丁目店,奈良県奈良市大宮町６丁目２－１８,34.6847342,135.8111191
163,セブンイレブン 花巻矢沢店,岩手県花巻市矢沢第４地割１２６－１,39.4051414,141.1671343
164,セブンイレブン大阪松崎２丁目店,大阪府大阪市阿倍野区松崎町２丁目１０－６,34.6428547,135.5149349
165,セブンイレブン 名古屋金山４丁目店,愛知県名古屋市中区金山４丁目２－１,35.1439764,136.9038242
166,セブンイレブン 津市久居新町店,三重県津市久居新町１００４－１,34.6777979,136.4776784
167,セブンイレブン 福知山駅南店,京都府福知山市駅南町２丁目２６７,35.2946112,135.1184081
168,セブンイレブンさいたま仲町２丁目店,埼玉県さいたま市浦和区仲町２丁目４－２２,35.8604656,139.6528788
169,セブンイレブン 金沢駅西本町３丁目店,石川県金沢市駅西本町３丁目１５－１３－２,36.5814889,136.6327614
170,セブンイレブン 大垣今宿３丁目店,岐阜県大垣市今宿３丁目３０－１,35.3648061,136.6357919
171,セブンイレブン川口駅東口店,埼玉県川口市川口１丁目１－１,35.801025,139.7184552
172,セブンイレブン 伊豆白田店,静岡県賀茂郡東伊豆町白田３１８－１２,34.8020721,139.0610668
173,セブンイレブン こんぴら店,香川県仲多度郡琴平町６９６－１,34.1892945,133.8181121
174,セブンイレブン 宝塚泉町店,兵庫県宝塚市泉町１７－１３,34.8116161,135.3687889
175,セブンイレブン ＪＲ宇治駅前店,京都府宇治市宇治宇文字２９－２,34.88986,135.8004457
176,セブンイレブン 赤坂東急プラザ店,東京都千代田区永田町２丁目１４－３,35.6773487,139.7374637
177,セブンイレブンハウステンボス駅前店,長崎県佐世保市南風崎町５０４－２,33.0855237,129.812612
178,セブンイレブン 福島駅東口店,福島県福島市栄町７２－４,37.7558811,140.4605048
179,セブンイレブン 長崎岩川町店,長崎県長崎市岩川町１７－１５,32.7662616,129.8665454
180,セブンイレブン 大町南原店,長野県大町市大町南原町３７０６－１,36.4687262,137.8436532
181,セブンイレブン新山口駅前店,山口県山口市小郡下郷１２９２,34.0950411,131.3961185
182,セブンイレブン 桑名駅西店,三重県桑名市大字東方１３６２－１,35.0673433,136.680445
183,セブンイレブン北千住駅東口店,東京都足立区千住旭町４－１３,35.7492818,139.806947
184,セブンイレブン藤沢湘南台２丁目店,神奈川県藤沢市湘南台２丁目１２－６第８露木商事ビル,35.3952669,139.465549
185,セブンイレブン 那須塩原駅西口店,栃木県那須塩原市方京１丁目１－１,36.9329693,140.0182361
186,セブンイレブン 出町柳駅前店,京都府京都市左京区田中上柳町５３－４,35.0304485,135.7738397
187,セブンイレブン 秦野渋沢店,神奈川県秦野市萩が丘１－７,35.3738681,139.1819743
188,セブンイレブン 芦屋駅北口店,兵庫県芦屋市大原町１１－２４,34.7360821,135.3069091
189,セブンイレブン 西宮ガーデンズ北口店,兵庫県西宮市高松町２０－１３,34.7456487,135.3612127
190,セブンイレブン 福井開発町店,福井県福井市開発町６－１１－１,36.0847739,136.2434783
191,セブンイレブン品川東大井５丁目店,東京都品川区東大井５丁目１－１２,35.608007,139.7362969
192,セブンイレブン平塚八重咲町店,神奈川県平塚市八重咲町１２－８,35.3263891,139.3471241
193,セブンイレブン神戸三宮駅東店,兵庫県神戸市中央区琴ノ緒町２丁目３－５,34.6978266,135.1976358
194,セブンイレブン 中央区 福岡渡辺通５丁目店,福岡県福岡市中央区渡辺通５丁目２０－７－１Ｆ,33.5871753,130.4023441
195,セブンイレブン 神戸東落合店,兵庫県神戸市須磨区東落合２丁目１－１７,34.6816187,135.103419
